Year,Local authority code,Measure,Unit,Observation
2020,e06000001,standard-area,hectares,9371.25
2020,e06000002,standard-area,hectares,5388.16
2020,e06000003,standard-area,hectares,24506.98
2020,e06000004,standard-area,hectares,20493.31
2020,e06000005,standard-area,hectares,19747.58
2020,e06000006,standard-area,hectares,7908.39
2020,e06000007,standard-area,hectares,18062.79
2020,e06000008,standard-area,hectares,13702.21
2020,e06000009,standard-area,hectares,3487.09
2020,e06000010,standard-area,hectares,7158.37
2020,e06000011,standard-area,hectares,240360.43
2020,e06000012,standard-area,hectares,19262.29
2020,e06000013,standard-area,hectares,84652.66
2020,e06000014,standard-area,hectares,27193.7
2020,e06000015,standard-area,hectares,7803.11
2020,e06000016,standard-area,hectares,7334.21
2020,e06000017,standard-area,hectares,38183.13
2020,e06000018,standard-area,hectares,7461.32
2020,e06000019,standard-area,hectares,217970.94
2020,e06000020,standard-area,hectares,29031.37
2020,e06000021,standard-area,hectares,9344.85
2020,e06000022,standard-area,hectares,34587.86
2020,e06000023,standard-area,hectares,10966.65
2020,e06000024,standard-area,hectares,37374.94
2020,e06000025,standard-area,hectares,49705.08
2020,e06000026,standard-area,hectares,7984.97
2020,e06000027,standard-area,hectares,6288.67
2020,e06000030,standard-area,hectares,23009.33
2020,e06000031,standard-area,hectares,34337.82
2020,e06000032,standard-area,hectares,4335.25
2020,e06000033,standard-area,hectares,4167.42
2020,e06000034,standard-area,hectares,16383.71
2020,e06000035,standard-area,hectares,19371.42
2020,e06000036,standard-area,hectares,10938.43
2020,e06000037,standard-area,hectares,70416.94
2020,e06000038,standard-area,hectares,4039.79
2020,e06000039,standard-area,hectares,3254.19
2020,e06000040,standard-area,hectares,19650.17
2020,e06000041,standard-area,hectares,17896.55
2020,e06000042,standard-area,hectares,30862.67
2020,e06000043,standard-area,hectares,8283.31
2020,e06000044,standard-area,hectares,4039.44
2020,e06000045,standard-area,hectares,4988.08
2020,e06000046,standard-area,hectares,37962.0
2020,e06000047,standard-area,hectares,222588.59
2020,e06000049,standard-area,hectares,116635.77
2020,e06000050,standard-area,hectares,92001.77
2020,e06000051,standard-area,hectares,319727.58
2020,e06000052,standard-area,hectares,354542.8
2020,e06000053,standard-area,hectares,1631.77
2020,e06000054,standard-area,hectares,325533.8
2020,e06000055,standard-area,hectares,47640.82
2020,e06000056,standard-area,hectares,71566.57
2020,e06000057,standard-area,hectares,501982.89
2020,e06000058,standard-area,hectares,16207.01
2020,e06000059,standard-area,hectares,249095.69
2020,e06000060,standard-area,hectares,156494.91
2020,e07000008,standard-area,hectares,4069.87
2020,e07000009,standard-area,hectares,65128.6
2020,e07000010,standard-area,hectares,54645.02
2020,e07000011,standard-area,hectares,90617.6
2020,e07000012,standard-area,hectares,90162.5
2020,e07000026,standard-area,hectares,124214.56
2020,e07000027,standard-area,hectares,7789.71
2020,e07000028,standard-area,hectares,103830.0
2020,e07000029,standard-area,hectares,73175.97
2020,e07000030,standard-area,hectares,214237.11
2020,e07000031,standard-area,hectares,153546.28
2020,e07000032,standard-area,hectares,26543.79
2020,e07000033,standard-area,hectares,16033.47
2020,e07000034,standard-area,hectares,6603.52
2020,e07000035,standard-area,hectares,79242.41
2020,e07000036,standard-area,hectares,10963.01
2020,e07000037,standard-area,hectares,53914.33
2020,e07000038,standard-area,hectares,27562.34
2020,e07000039,standard-area,hectares,33812.69
2020,e07000040,standard-area,hectares,81424.47
2020,e07000041,standard-area,hectares,4703.31
2020,e07000042,standard-area,hectares,91289.78
2020,e07000043,standard-area,hectares,108588.58
2020,e07000044,standard-area,hectares,88654.39
2020,e07000045,standard-area,hectares,67377.08
2020,e07000046,standard-area,hectares,98382.89
2020,e07000047,standard-area,hectares,115967.34
2020,e07000061,standard-area,hectares,4416.15
2020,e07000062,standard-area,hectares,2979.61
2020,e07000063,standard-area,hectares,29210.7
2020,e07000064,standard-area,hectares,50944.13
2020,e07000065,standard-area,hectares,83312.55
2020,e07000066,standard-area,hectares,11000.1
2020,e07000067,standard-area,hectares,61170.79
2020,e07000068,standard-area,hectares,15312.41
2020,e07000069,standard-area,hectares,4467.35
2020,e07000070,standard-area,hectares,33875.82
2020,e07000071,standard-area,hectares,32822.39
2020,e07000072,standard-area,hectares,33898.42
2020,e07000073,standard-area,hectares,3053.79
2020,e07000074,standard-area,hectares,35781.57
2020,e07000075,standard-area,hectares,16709.27
2020,e07000076,standard-area,hectares,33632.43
2020,e07000077,standard-area,hectares,64118.29
2020,e07000078,standard-area,hectares,4659.61
2020,e07000079,standard-area,hectares,116452.42
2020,e07000080,standard-area,hectares,52590.21
2020,e07000081,standard-area,hectares,4055.3
2020,e07000082,standard-area,hectares,46054.2
2020,e07000083,standard-area,hectares,41441.44
2020,e07000084,standard-area,hectares,63381.73
2020,e07000085,standard-area,hectares,51443.22
2020,e07000086,standard-area,hectares,7967.88
2020,e07000087,standard-area,hectares,7425.68
2020,e07000088,standard-area,hectares,2537.36
2020,e07000089,standard-area,hectares,21526.5
2020,e07000090,standard-area,hectares,5573.98
2020,e07000091,standard-area,hectares,75217.54
2020,e07000092,standard-area,hectares,3904.5
2020,e07000093,standard-area,hectares,62759.53
2020,e07000094,standard-area,hectares,66097.03
2020,e07000095,standard-area,hectares,5144.22
2020,e07000096,standard-area,hectares,21247.66
2020,e07000098,standard-area,hectares,10112.82
2020,e07000099,standard-area,hectares,37538.21
2020,e07000102,standard-area,hectares,8882.42
2020,e07000103,standard-area,hectares,2143.05
2020,e07000105,standard-area,hectares,58061.72
2020,e07000106,standard-area,hectares,30875.26
