Year,Local authority code,Measure,Unit,Observation
2020,E06000001,Standard Area,Hectares,9371.25
2020,E06000002,Standard Area,Hectares,5388.16
2020,E06000003,Standard Area,Hectares,24506.98
2020,E06000004,Standard Area,Hectares,20493.31
2020,E06000005,Standard Area,Hectares,19747.58
2020,E06000006,Standard Area,Hectares,7908.39
2020,E06000007,Standard Area,Hectares,18062.79
2020,E06000008,Standard Area,Hectares,13702.21
2020,E06000009,Standard Area,Hectares,3487.09
2020,E06000010,Standard Area,Hectares,7158.37
2020,E06000011,Standard Area,Hectares,240360.43
2020,E06000012,Standard Area,Hectares,19262.29
2020,E06000013,Standard Area,Hectares,84652.66
2020,E06000014,Standard Area,Hectares,27193.7
2020,E06000015,Standard Area,Hectares,7803.11
2020,E06000016,Standard Area,Hectares,7334.21
2020,E06000017,Standard Area,Hectares,38183.13
2020,E06000018,Standard Area,Hectares,7461.32
2020,E06000019,Standard Area,Hectares,217970.94
2020,E06000020,Standard Area,Hectares,29031.37
2020,E06000021,Standard Area,Hectares,9344.85
2020,E06000022,Standard Area,Hectares,34587.86
2020,E06000023,Standard Area,Hectares,10966.65
2020,E06000024,Standard Area,Hectares,37374.94
2020,E06000025,Standard Area,Hectares,49705.08
2020,E06000026,Standard Area,Hectares,7984.97
2020,E06000027,Standard Area,Hectares,6288.67
2020,E06000030,Standard Area,Hectares,23009.33
2020,E06000031,Standard Area,Hectares,34337.82
2020,E06000032,Standard Area,Hectares,4335.25
2020,E06000033,Standard Area,Hectares,4167.42
2020,E06000034,Standard Area,Hectares,16383.71
2020,E06000035,Standard Area,Hectares,19371.42
2020,E06000036,Standard Area,Hectares,10938.43
2020,E06000037,Standard Area,Hectares,70416.94
2020,E06000038,Standard Area,Hectares,4039.79
2020,E06000039,Standard Area,Hectares,3254.19
2020,E06000040,Standard Area,Hectares,19650.17
2020,E06000041,Standard Area,Hectares,17896.55
2020,E06000042,Standard Area,Hectares,30862.67
2020,E06000043,Standard Area,Hectares,8283.31
2020,E06000044,Standard Area,Hectares,4039.44
2020,E06000045,Standard Area,Hectares,4988.08
2020,E06000046,Standard Area,Hectares,37962.0
2020,E06000047,Standard Area,Hectares,222588.59
2020,E06000049,Standard Area,Hectares,116635.77
2020,E06000050,Standard Area,Hectares,92001.77
2020,E06000051,Standard Area,Hectares,319727.58
2020,E06000052,Standard Area,Hectares,354542.8
2020,E06000053,Standard Area,Hectares,1631.77
2020,E06000054,Standard Area,Hectares,325533.8
2020,E06000055,Standard Area,Hectares,47640.82
2020,E06000056,Standard Area,Hectares,71566.57
2020,E06000057,Standard Area,Hectares,501982.89
2020,E06000058,Standard Area,Hectares,16207.01
2020,E06000059,Standard Area,Hectares,249095.69
2020,E06000060,Standard Area,Hectares,156494.91
2020,E07000008,Standard Area,Hectares,4069.87
2020,E07000009,Standard Area,Hectares,65128.6
2020,E07000010,Standard Area,Hectares,54645.02
2020,E07000011,Standard Area,Hectares,90617.6
2020,E07000012,Standard Area,Hectares,90162.5
2020,E07000026,Standard Area,Hectares,124214.56
2020,E07000027,Standard Area,Hectares,7789.71
2020,E07000028,Standard Area,Hectares,103830.0
2020,E07000029,Standard Area,Hectares,73175.97
2020,E07000030,Standard Area,Hectares,214237.11
2020,E07000031,Standard Area,Hectares,153546.28
2020,E07000032,Standard Area,Hectares,26543.79
2020,E07000033,Standard Area,Hectares,16033.47
2020,E07000034,Standard Area,Hectares,6603.52
2020,E07000035,Standard Area,Hectares,79242.41
2020,E07000036,Standard Area,Hectares,10963.01
2020,E07000037,Standard Area,Hectares,53914.33
2020,E07000038,Standard Area,Hectares,27562.34
2020,E07000039,Standard Area,Hectares,33812.69
2020,E07000040,Standard Area,Hectares,81424.47
2020,E07000041,Standard Area,Hectares,4703.31
2020,E07000042,Standard Area,Hectares,91289.78
2020,E07000043,Standard Area,Hectares,108588.58
2020,E07000044,Standard Area,Hectares,88654.39
2020,E07000045,Standard Area,Hectares,67377.08
2020,E07000046,Standard Area,Hectares,98382.89
2020,E07000047,Standard Area,Hectares,115967.34
2020,E07000061,Standard Area,Hectares,4416.15
2020,E07000062,Standard Area,Hectares,2979.61
2020,E07000063,Standard Area,Hectares,29210.7
2020,E07000064,Standard Area,Hectares,50944.13
2020,E07000065,Standard Area,Hectares,83312.55
2020,E07000066,Standard Area,Hectares,11000.1
2020,E07000067,Standard Area,Hectares,61170.79
2020,E07000068,Standard Area,Hectares,15312.41
2020,E07000069,Standard Area,Hectares,4467.35
2020,E07000070,Standard Area,Hectares,33875.82
2020,E07000071,Standard Area,Hectares,32822.39
2020,E07000072,Standard Area,Hectares,33898.42
2020,E07000073,Standard Area,Hectares,3053.79
2020,E07000074,Standard Area,Hectares,35781.57
2020,E07000075,Standard Area,Hectares,16709.27
2020,E07000076,Standard Area,Hectares,33632.43
2020,E07000077,Standard Area,Hectares,64118.29
2020,E07000078,Standard Area,Hectares,4659.61
2020,E07000079,Standard Area,Hectares,116452.42
2020,E07000080,Standard Area,Hectares,52590.21
2020,E07000081,Standard Area,Hectares,4055.3
2020,E07000082,Standard Area,Hectares,46054.2
2020,E07000083,Standard Area,Hectares,41441.44
2020,E07000084,Standard Area,Hectares,63381.73
2020,E07000085,Standard Area,Hectares,51443.22
2020,E07000086,Standard Area,Hectares,7967.88
2020,E07000087,Standard Area,Hectares,7425.68
2020,E07000088,Standard Area,Hectares,2537.36
2020,E07000089,Standard Area,Hectares,21526.5
2020,E07000090,Standard Area,Hectares,5573.98
2020,E07000091,Standard Area,Hectares,75217.54
2020,E07000092,Standard Area,Hectares,3904.5
