Year,Geography,Observation
1990,england,6.1
1991,england,6.5
1992,england,6.7
1993,england,7.0
1994,england,7.0
1995,england,7.0
1996,england,7.2
1997,england,7.3
1998,england,7.6
1999,england,7.7
2000,england,7.9
2001,england,8.0
2002,england,8.1
2003,england,8.2
2004,england,8.2
2005,england,8.2
2006,england,8.3
2007,england,8.3
2008,england,8.4
2009,england,8.4
2010,england,8.5
2011,england,8.5
2012,england,8.2
2013,england,8.3
2014,england,8.4
2015,england,8.3
2016,england,8.4
2017,england,8.4
2018,england,8.3
2019,england,8.2
2020,england,8.2
2021,england,8.1
2022,england,8.0
2023,england,7.9
2024,england,7.8
2025,england,7.6
2026,england,7.5
2027,england,7.3
2028,england,7.2
2029,england,7.0
2030,england,6.8
2031,england,6.6
2032,england,6.4
2033,england,6.2
2034,england,6.0
2035,england,5.9
2036,england,5.7
2037,england,5.5
2038,england,5.3
2039,england,5.1
2040,england,5.0
2041,england,4.8
2042,england,4.6
2043,england,4.5
2044,england,4.3
2045,england,4.2
2046,england,4.1
2047,england,4.0
2048,england,4.0
2049,england,3.9
2050,england,3.8
1990,wales,1.5
1991,wales,1.5
1992,wales,1.5
1993,wales,1.5
1994,wales,1.6
1995,wales,1.6
1996,wales,1.6
1997,wales,1.5
1998,wales,1.6
1999,wales,1.5
2000,wales,1.6
2001,wales,1.6
2002,wales,1.5
2003,wales,1.5
2004,wales,1.6
2005,wales,1.6
2006,wales,1.7
2007,wales,1.6
2008,wales,1.7
2009,wales,1.6
2010,wales,1.6
2011,wales,1.5
2012,wales,1.2
2013,wales,1.3
2014,wales,1.2
2015,wales,1.2
2016,wales,1.2
2017,wales,1.2
2018,wales,1.2
2019,wales,1.2
2020,wales,1.2
2021,wales,1.2
2022,wales,1.2
2023,wales,1.2
2024,wales,1.2
2025,wales,1.3
2026,wales,1.3
2027,wales,1.3
2028,wales,1.3
2029,wales,1.3
2030,wales,1.3
2031,wales,1.4
2032,wales,1.4
2033,wales,1.4
2034,wales,1.5
2035,wales,1.5
2036,wales,1.5
2037,wales,1.5
2038,wales,1.6
2039,wales,1.6
2040,wales,1.6
2041,wales,1.6
2042,wales,1.6
2043,wales,1.6
2044,wales,1.7
2045,wales,1.7
2046,wales,1.7
2047,wales,1.6
2048,wales,1.6
2049,wales,1.6
2050,wales,1.6
1990,scotland,6.8
1991,scotland,7.1
1992,scotland,7.4
